gameid,date,team_blue,team_red,result,result_diff,golddiffat15_diff,xpdiffat15_diff,csdiffat15_diff,kills_diff,assists_diff,firstblood_diff,firsttower_diff,firstmidtower_diff,firsttothreetowers_diff,firstdragon_diff,firstherald_diff,firstbaron_diff,dragons_diff,elementaldrakes_diff,elders_diff,wpm_diff,wcpm_diff,vspm_diff,form_wr_diff,side_wr_diff,h2h_diff,champ_winrate_diff,scaling_score_diff,early_score_diff,carry_score_diff,avg_kills_diff,avg_deaths_diff,avg_assists_diff,avg_dpm_diff,avg_damageshare_diff,avg_golddiffat15_diff,avg_csdiffat15_diff,avg_cspm_diff
LOLTMNT03_336502,2026-01-16 08:53:11,Dplus Kia,DN SOOPers,1,0.75,3999.0833333333335,2926.25,57.583333333333336,13.0,27.916666666666664,0.1666666666666666,0.75,0.75,0.75,0.75,0.5,0.4166666666666666,0.5833333333333335,0.5833333333333335,0.0,-0.3319166666666659,0.0242666666666664,0.1519916666666656,0.75,1.0,0.0,0.006705882352941117,0.0,-104.0,0.04738385999999997,0.8137331843265163,0.17238072298552254,1.2037226776423005,54.85257742745853,0.017847640251033275,45.66076910265848,-2.0937625309986743,-0.1225154665990047
LOLTMNT03_337754,2026-01-17 09:01:27,BNK FEARX,HANJIN BRION,0,1.0,1674.6666666666663,232.0,25.0,11.666666666666668,30.666666666666668,0.0,0.6666666666666666,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.0,0.2871999999999999,0.1061999999999998,0.8605,1.0,1.0,0.0,0.030341880341880345,0.0,-85.83666666666666,-0.004285473333333345,-0.15231184882181736,0.296646931970145,1.721720666339965,16.71090826035254,0.010192912787836933,-234.14448146208963,-5.735578767353688,-1.260083007481656
LOLTMNT03_337756,2026-01-17 09:47:06,HANJIN BRION,BNK FEARX,0,-0.5,-1423.5,61.0,-8.25,-6.25,-15.5,-0.25,-0.25,-1.0,-0.5,0.0,-0.5,-0.5,0.0,0.0,0.0,-0.1556499999999996,2.4999999999941732e-05,-0.4561250000000001,-0.5,-0.5,0.5,-0.17344877344877346,0.0,-30.879999999999995,0.034658048000000025,-0.9290647562335337,-0.9409281374413174,-3.4558537297462317,-65.62153773111493,0.0016182806097409796,19.68022065423645,-0.007793227921608192,0.545285830392988
LOLTMNT03_337782,2026-01-17 12:05:01,Gen.G,KT Rolster,1,0.5,3134.083333333333,2616.25,43.75,12.5,20.5,0.1666666666666666,0.5,-0.0833333333333333,0.5,0.1666666666666666,0.75,0.4166666666666666,1.3333333333333337,1.0,0.3333333333333333,0.0341166666666667,-0.0876833333333333,0.4419750000000011,0.5,0.5,0.0,-0.08870241555924696,0.0,-38.22250000000001,0.0046840675,-0.22961824228002037,0.47505755624535917,0.07876297959460654,6.633695256260239,-0.010232960849185846,36.25991925042159,0.3691830337842006,-1.2993863628450226
LOLTMNT03_336842,2026-01-18 08:58:36,Nongshim RedForce,Hanwha Life Esports,1,0.0833333333333333,-19.583333333333258,153.75,-16.25,1.166666666666666,0.0833333333333321,-0.1666666666666666,0.6666666666666666,0.0833333333333333,0.3333333333333333,-0.1666666666666666,0.6666666666666666,-0.25,-0.5833333333333333,-0.3333333333333332,-0.25,0.0457666666666671,0.20805,0.1157833333333346,0.0833333333333333,-0.5,0.0,-0.21365402880573164,0.0,-139.0842857142857,0.0031345257142856575,-0.9302823437312604,0.5492867600236022,-1.6720497754739245,-50.245437583798775,-0.0003623591951930072,-258.90690784482115,-7.968096454628963,-0.04326582883129948
LOLTMNT03_337894,2026-01-18 11:12:18,T1,Kiwoom DRX,0,0.75,6124.166666666666,4327.083333333333,44.25,13.583333333333334,26.416666666666668,-0.1666666666666666,1.0,0.1666666666666666,1.0,-0.4166666666666666,0.4166666666666667,0.4166666666666667,1.1666666666666667,1.1666666666666667,0.0,0.3012499999999996,0.3782333333333334,0.4606083333333313,0.75,0.6666666666666666,0.0,0.13244853137807294,0.2,57.021666666666654,0.03365852,1.7221587970132113,0.08546920444203998,-0.709581699285434,115.97588771348592,0.028876788576547324,152.21320658604742,-2.612060220858183,0.06053558402488779
LOLTMNT03_336867,2026-01-18 12:05:41,Kiwoom DRX,T1,0,-0.35,-4782.55,-3571.7,-31.6,-7.850000000000001,-13.950000000000005,0.35,-1.0,0.0999999999999999,-0.55,0.55,-0.0999999999999999,-0.55,0.25,0.0,0.25,-0.3859249999999998,-0.2142000000000001,-0.2070949999999971,-0.35,-1.0,0.5,-0.1862522893772895,0.0,-96.60000000000001,-0.03521887833333337,-1.2606084142859153,0.3270779717350636,-1.8254279902111827,-106.34603454199566,-0.014600310723082682,-261.43115082301796,-6.030895999844942,-0.12912789956127924
LOLTMNT03_338494,2026-01-21 08:05:24,Dplus Kia,Nongshim RedForce,1,0.5,3502.0,3238.5,75.25,4.0,6.0,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,-0.4040000000000003,-0.2087000000000003,-0.6321999999999992,0.5,0.5,0.0,0.1399698851872766,0.15,208.35809523809525,-0.04419679915873015,-0.3489173904080731,-0.4306905344482983,3.630777204162298,-116.5309378068797,-0.05198986453873247,283.10620703485614,-0.7973429055416628,0.3414240299445197
LOLTMNT03_339373,2026-01-21 09:07:05,Dplus Kia,Nongshim RedForce,0,0.6,2464.4,2432.0,56.6,5.399999999999999,10.0,0.6000000000000001,0.0,0.2,0.2,0.1999999999999999,0.2,0.6000000000000001,-0.2000000000000001,-0.2000000000000001,0.0,-0.1826800000000004,-0.2294,-0.5421999999999993,0.6,0.6666666666666667,0.5,0.18960832861724208,0.2,79.48333333333333,0.03126177955555556,-0.44107808140057525,-0.3662438573960616,0.02454827212493349,24.567533079654027,0.011953380477449288,20.118381039618626,0.4991503456677653,0.18606478047257902
LOLTMNT03_338498,2026-01-21 09:52:46,Dplus Kia,Nongshim RedForce,1,0.3333333333333333,1486.3333333333337,1508.0,47.5,2.333333333333334,5.666666666666664,0.3333333333333333,-0.1666666666666667,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,-0.3333333333333332,-0.3333333333333332,0.0,-0.1661666666666672,-0.3165166666666668,-0.6607500000000002,0.2,0.3333333333333333,0.0,-0.24416666666666664,0.0,-309.4,-0.019376186666666684,-1.5425888780169599,-0.6225513698630136,-3.057831865622962,-136.95405117343444,-0.0028521701076321127,-212.09169928245274,-6.905168786692759,0.5620029521363348
