gameid,date,team_blue,team_red,result,result_diff,golddiffat15_diff,xpdiffat15_diff,csdiffat15_diff,kills_diff,assists_diff,firstblood_diff,firsttower_diff,firstmidtower_diff,firsttothreetowers_diff,firstdragon_diff,firstherald_diff,firstbaron_diff,dragons_diff,elementaldrakes_diff,elders_diff,wpm_diff,wcpm_diff,vspm_diff,form_wr_diff,side_wr_diff,h2h_diff
LOLTMNT03_336502,2026-01-16 08:53:11,Dplus Kia,DN SOOPers,1,0.75,3999.0833333333335,2926.25,57.583333333333336,13.0,27.916666666666664,0.16666666666666663,0.75,0.75,0.75,0.75,0.5,0.41666666666666663,0.5833333333333335,0.5833333333333335,0.0,-0.33191666666666597,0.024266666666666437,0.15199166666666564,0.75,1.0,0.0
LOLTMNT03_337754,2026-01-17 09:01:27,BNK FEARX,HANJIN BRION,0,1.0,1674.6666666666665,232.0,25.0,11.666666666666668,30.666666666666668,0.0,0.6666666666666666,1.0,1.0,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.0,0.2871999999999999,0.10619999999999985,0.8605,1.0,1.0,0.0
LOLTMNT03_337756,2026-01-17 09:47:06,HANJIN BRION,BNK FEARX,0,-0.5,-1423.5,61.0,-8.25,-6.25,-15.5,-0.25,-0.25,-1.0,-0.5,0.0,-0.5,-0.5,0.0,0.0,0.0,-0.15564999999999962,2.4999999999941735e-05,-0.4561250000000001,-0.5,-0.5,0.5
LOLTMNT03_337782,2026-01-17 12:05:01,Gen.G,KT Rolster,1,0.5,3134.0833333333335,2616.25,43.75,12.5,20.5,0.16666666666666663,0.5,-0.08333333333333337,0.5,0.16666666666666663,0.75,0.41666666666666663,1.3333333333333335,1.0,0.3333333333333333,0.034116666666666795,-0.08768333333333334,0.4419750000000011,0.5,0.5,0.0
LOLTMNT03_336842,2026-01-18 08:58:36,Nongshim RedForce,Hanwha Life Esports,1,0.08333333333333331,-19.583333333333258,153.75,-16.25,1.166666666666666,0.08333333333333215,-0.16666666666666669,0.6666666666666666,0.08333333333333331,0.3333333333333333,-0.16666666666666669,0.6666666666666666,-0.25,-0.5833333333333333,-0.33333333333333326,-0.25,0.04576666666666718,0.20805000000000007,0.11578333333333468,0.08333333333333331,-0.5,0.0
LOLTMNT03_337894,2026-01-18 11:12:18,T1,Kiwoom DRX,0,0.75,6124.166666666666,4327.083333333333,44.25,13.583333333333334,26.416666666666668,-0.16666666666666663,1.0,0.16666666666666669,1.0,-0.41666666666666663,0.4166666666666667,0.4166666666666667,1.1666666666666667,1.1666666666666667,0.0,0.3012499999999996,0.3782333333333334,0.4606083333333313,0.75,0.6666666666666666,0.0
LOLTMNT03_336867,2026-01-18 12:05:41,Kiwoom DRX,T1,0,-0.35,-4782.55,-3571.7,-31.6,-7.850000000000001,-13.950000000000003,0.35,-1.0,0.09999999999999998,-0.55,0.55,-0.09999999999999998,-0.55,0.25,0.0,0.25,-0.38592499999999985,-0.21420000000000017,-0.20709499999999714,-0.35,-1.0,0.5
LOLTMNT03_338494,2026-01-21 08:05:24,Dplus Kia,Nongshim RedForce,1,0.5,3502.0,3238.5,75.25,4.0,6.0,0.5,0.25,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,-0.40400000000000036,-0.20870000000000033,-0.6321999999999992,0.5,0.5,0.0
LOLTMNT03_339373,2026-01-21 09:07:05,Dplus Kia,Nongshim RedForce,0,0.6,2464.4,2432.0,56.599999999999994,5.399999999999999,10.0,0.6000000000000001,0.0,0.20000000000000007,0.20000000000000007,0.19999999999999996,0.20000000000000007,0.6000000000000001,-0.20000000000000018,-0.20000000000000018,0.0,-0.1826800000000004,-0.22940000000000005,-0.5421999999999993,0.6,0.6666666666666667,0.5
LOLTMNT03_338498,2026-01-21 09:52:46,Dplus Kia,Nongshim RedForce,1,0.33333333333333337,1486.3333333333335,1508.0,47.5,2.333333333333334,5.666666666666664,0.3333333333333333,-0.16666666666666674,0.0,0.0,0.0,0.33333333333333337,0.3333333333333333,-0.33333333333333326,-0.33333333333333326,0.0,-0.16616666666666724,-0.3165166666666668,-0.6607500000000002,0.20000000000000007,0.33333333333333337,0.0
