gameid,date,game,teamname,side,result,gamelength,ckpm,golddiffat15,xpdiffat15,csdiffat15,firstblood,firstdragon,firstherald,firstbaron,firsttower,firstmidtower,firsttothreetowers,kills,deaths,assists,wpm,wcpm,vspm,dragons,elementaldrakes,elders
LOLTMNT03_336511,2026-01-16 11:07:37,2,Hanwha Life Esports,Blue,0,1603,1.048,-1892.0,-1737.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6,22,11,3.743,1.1978,9.058,0.0,0.0,0.0
LOLTMNT03_336511,2026-01-16 11:07:37,2,T1,Red,1,1603,1.048,1892.0,1737.0,-3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,22,6,44,3.6307,1.8715,9.4697,4.0,4.0,0.0
LOLTMNT03_337603,2026-01-16 11:56:34,3,T1,Blue,1,1700,1.4471,4458.0,3768.0,19.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,32,9,81,3.5647,1.3059,8.3647,3.0,3.0,0.0
LOLTMNT03_337603,2026-01-16 11:56:34,3,Hanwha Life Esports,Red,0,1700,1.4471,-4458.0,-3768.0,-19.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,9,32,26,3.1059,1.2353,7.6588,1.0,1.0,0.0
LOLTMNT03_336667,2026-01-17 08:05:53,1,BNK FEARX,Blue,1,1913,0.9409,-2917.0,-3633.0,-28.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,17,13,47,4.5792,1.8191,11.3539,1.0,1.0,0.0
LOLTMNT03_336667,2026-01-17 08:05:53,1,HANJIN BRION,Red,0,1913,0.9409,2917.0,3633.0,28.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,13,17,25,4.2028,2.1955,12.2948,3.0,3.0,0.0
LOLTMNT03_337754,2026-01-17 09:01:27,2,BNK FEARX,Blue,0,1506,1.1952,335.0,-470.0,-21.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,10,20,25,3.7052,1.3944,9.4422,0.0,0.0,0.0
LOLTMNT03_337754,2026-01-17 09:01:27,2,HANJIN BRION,Red,1,1506,1.1952,-335.0,470.0,21.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,20,10,55,3.9442,1.7131,10.1992,3.0,3.0,0.0
LOLTMNT03_337756,2026-01-17 09:47:06,3,HANJIN BRION,Blue,0,2187,0.823,1001.0,520.0,6.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,12,18,26,4.225,2.1399,11.989,1.0,1.0,0.0
LOLTMNT03_337756,2026-01-17 09:47:06,3,BNK FEARX,Red,1,2187,0.823,-1001.0,-520.0,-6.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,18,12,43,4.1975,1.9204,10.6996,3.0,3.0,0.0
